2026-06-28 14:05:28 | INFO     | jobscrape            | JobScrape Pro v1.0.0 - Command: scrape
2026-06-28 14:05:29 | INFO     | jobscrape.orchestrator | JobScrapeOrchestrator initialized
2026-06-28 14:05:29 | INFO     | jobscrape.orchestrator | ============================================================
2026-06-28 14:05:29 | INFO     | jobscrape.orchestrator | STARTING SCRAPE PIPELINE
2026-06-28 14:05:29 | INFO     | jobscrape.orchestrator | ============================================================
2026-06-28 14:05:29 | INFO     | jobscrape.orchestrator | --- Processing target: RemoteOK ---
2026-06-28 14:05:34 | INFO     | jobscrape.orchestrator | Scraped 100 raw jobs from RemoteOK
2026-06-28 14:05:34 | INFO     | jobscrape.orchestrator | Deduplication: 52 kept, 48 removed
2026-06-28 14:05:34 | INFO     | jobscrape.orchestrator | Inserted 52 new jobs into database
2026-06-28 14:05:34 | INFO     | jobscrape.orchestrator | --- Processing target: We Work Remotely ---
2026-06-28 14:05:42 | INFO     | jobscrape.orchestrator | Scraped 0 raw jobs from We Work Remotely
2026-06-28 14:05:42 | INFO     | jobscrape.orchestrator | Deduplication: 0 kept, 0 removed
2026-06-28 14:05:42 | INFO     | jobscrape.orchestrator | Inserted 0 new jobs into database
2026-06-28 14:05:42 | INFO     | jobscrape.orchestrator | ============================================================
2026-06-28 14:05:42 | INFO     | jobscrape.orchestrator | SCRAPE PIPELINE COMPLETE
2026-06-28 14:05:42 | INFO     | jobscrape.orchestrator |   Targets: 2
2026-06-28 14:05:42 | INFO     | jobscrape.orchestrator |   Pages: 3
2026-06-28 14:05:42 | INFO     | jobscrape.orchestrator |   Jobs found: 100
2026-06-28 14:05:42 | INFO     | jobscrape.orchestrator |   Jobs inserted: 52
2026-06-28 14:05:42 | INFO     | jobscrape.orchestrator |   Jobs deduplicated: 48
2026-06-28 14:05:42 | INFO     | jobscrape.orchestrator |   Errors: 0
2026-06-28 14:05:42 | INFO     | jobscrape.orchestrator |   Elapsed: 13.6s
2026-06-28 14:05:42 | INFO     | jobscrape.orchestrator | ============================================================
2026-06-28 14:05:42 | INFO     | jobscrape            | JobScrape Pro completed successfully
2026-06-28 14:06:12 | INFO     | jobscrape            | JobScrape Pro v1.0.0 - Command: stats
2026-06-28 14:06:12 | INFO     | jobscrape.orchestrator | JobScrapeOrchestrator initialized
2026-06-28 14:06:12 | INFO     | jobscrape            | JobScrape Pro completed successfully
2026-06-28 14:06:45 | INFO     | jobscrape            | JobScrape Pro v1.0.0 - Command: analyze
2026-06-28 14:06:45 | INFO     | jobscrape.orchestrator | JobScrapeOrchestrator initialized
